,groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
0,random,1,0,23,4,4
1,random,15,7,9,4,9
2,random,32,4,1,40,17
3,random,15,4,2,9,26
4,random,8,1,10,0,12
5,random,9,6,12,1,9
6,random,41,7,0,47,16
7,random,12,7,9,6,6
8,random,21,7,3,9,16
9,random,6,1,12,7,10
10,random,16,9,6,6,11
11,random,7,3,17,3,5
12,random,14,5,8,13,7
13,random,13,5,10,8,7
14,random,2,0,21,6,4
15,random,8,6,13,0,8
16,random,29,7,0,13,25
17,random,19,1,5,15,22
18,random,5,2,11,0,15
19,random,10,5,10,2,10
20,random,11,2,11,7,9
21,random,6,2,8,1,18
22,random,15,8,7,6,9
23,random,7,1,11,6,11
24,random,13,4,10,10,6
25,random,9,7,12,1,8
26,random,16,6,1,1,27
27,random,14,4,9,7,9
28,random,24,10,0,6,24
29,random,10,1,8,1,16
30,random,2,0,17,1,10
31,random,9,3,15,7,5
32,random,12,1,9,0,15
33,random,20,5,1,4,28
34,random,21,1,4,16,23
35,random,7,1,13,0,10
36,random,18,4,4,6,14
37,random,5,3,19,0,6
38,random,6,1,13,6,9
39,random,6,1,15,1,8
40,random,12,3,4,1,28
41,random,33,2,1,28,20
42,random,10,0,9,2,16
43,random,9,0,10,0,16
44,random,15,4,2,8,27
45,random,6,3,20,4,3
46,random,2,0,18,1,9
47,random,29,5,2,36,12
48,random,11,7,10,5,8
49,random,6,0,12,0,14
50,random,4,2,24,0,3
51,random,8,1,8,2,17
52,random,6,2,7,1,19
53,random,9,1,15,9,7
54,random,14,1,4,7,26
55,random,9,2,8,1,13
56,random,12,3,10,7,9
57,random,5,2,24,4,2
58,random,28,5,1,10,24
59,random,2,2,30,0,1
60,random,7,3,14,2,8
61,random,10,4,13,7,7
62,random,29,5,2,33,15
63,random,14,5,5,0,15
64,random,0,0,23,1,6
65,random,5,3,18,0,7
66,random,1,0,22,0,7
67,random,9,1,10,2,11
68,random,5,0,13,1,13
69,random,17,5,2,0,32
70,random,1,0,20,0,9
71,random,10,4,14,7,6
72,random,34,2,2,26,22
73,random,28,3,1,1,26
74,random,23,8,0,2,33
75,random,3,0,16,0,9
76,random,4,1,25,4,2
77,random,10,2,7,1,13
78,random,13,6,8,7,11
79,random,4,2,21,0,4
80,random,0,0,24,1,5
81,random,12,1,8,0,16
82,random,28,3,2,0,26
83,random,21,5,7,30,11
84,random,6,4,17,0,7
85,random,1,0,18,4,8
86,random,6,1,13,1,10
87,random,8,1,11,0,11
88,random,12,5,12,5,7
89,random,10,1,7,4,17
90,random,8,1,16,7,7
91,random,33,3,0,33,21
92,random,6,3,19,5,3
93,random,1,0,19,3,8
94,random,6,4,14,0,9
95,random,0,0,25,4,4
96,random,8,0,10,2,14
97,random,11,3,13,6,7
98,random,3,0,15,0,10
99,random,13,2,10,8,10
100,random,8,2,6,0,15
101,random,6,3,18,0,5
102,random,5,0,12,3,11
103,random,32,4,0,38,20
104,random,6,1,12,8,9
105,random,9,0,10,6,13
106,random,8,5,13,1,9
107,random,13,3,13,0,8
108,random,35,6,1,47,10
109,random,7,4,17,2,5
110,random,7,0,11,0,14
111,random,27,2,9,29,10
112,random,10,3,12,0,9
113,random,6,2,7,2,18
114,random,13,3,10,6,9
115,random,13,2,4,4,26
116,random,0,0,22,2,6
117,random,16,8,7,11,6
118,random,8,2,14,5,7
119,random,12,2,12,5,8
120,random,18,7,3,5,17
121,random,4,1,18,6,5
122,random,0,0,27,1,4
123,random,6,2,8,0,19
124,random,6,1,11,9,9
125,random,8,4,14,3,7
126,random,15,3,8,0,12
127,random,3,0,18,9,4
128,random,33,4,2,30,15
129,random,13,3,10,5,10
130,random,13,5,8,8,10
131,random,0,0,25,0,5
132,random,6,4,15,0,8
133,random,12,1,6,1,19
134,random,2,0,20,7,4
135,random,16,8,6,8,9
136,random,10,1,9,0,16
137,random,10,2,5,3,15
138,random,24,5,1,11,19
139,random,3,0,15,8,8
140,random,9,0,9,4,14
141,random,10,4,14,8,5
142,random,6,1,11,0,16
143,random,12,1,6,0,20
144,random,12,3,11,7,8
145,random,9,1,9,2,12
146,random,44,4,0,35,14
147,random,6,1,11,1,15
148,random,31,4,0,3,34
149,random,14,6,7,10,9
150,random,6,0,13,0,12
151,random,21,1,4,15,24
152,random,10,2,8,0,13
153,random,7,5,15,0,6
154,random,2,0,22,0,5
155,random,22,6,3,9,17
156,random,49,12,0,0,51
157,random,30,5,2,38,11
158,random,27,5,1,7,26
159,random,10,3,11,0,10
160,random,6,1,13,0,11
161,random,14,7,7,8,7
162,random,16,3,2,1,20
163,random,22,7,1,0,33
164,random,14,7,8,8,6
165,random,5,0,14,0,13
166,random,3,0,20,0,6
167,random,33,2,4,32,12
168,random,7,2,8,0,15
169,random,10,4,11,5,8
170,random,0,0,22,1,7
171,random,29,2,2,32,17
172,random,10,3,14,9,5
173,random,8,5,14,2,6
174,random,8,3,17,4,4
175,random,7,1,11,0,12
176,random,3,0,21,1,5
177,random,5,0,17,3,7
178,random,34,6,0,49,9
179,random,34,7,1,45,11
180,random,6,1,16,0,8
181,random,10,1,8,2,12
182,random,13,4,4,7,19
183,random,8,1,9,2,13
184,random,8,2,19,4,5
185,random,13,1,5,5,26
186,random,12,2,5,1,17
187,random,25,12,1,0,26
188,random,12,4,12,8,6
189,random,5,2,13,0,14
190,random,6,3,16,2,7
191,random,14,2,3,6,26
192,random,3,2,27,0,2
193,random,27,3,1,0,27
194,random,13,7,8,7,7
195,random,4,0,18,1,7
196,random,2,0,18,0,10
197,random,8,1,9,1,14
198,random,24,4,1,15,23
199,random,1,0,21,2,7
200,random,11,7,9,5,9
201,random,36,2,1,37,17
202,random,23,2,4,26,14
203,random,1,0,19,0,10
204,random,14,6,10,4,9
205,random,31,2,4,31,13
206,random,6,3,20,3,4
207,random,4,0,19,0,7
208,random,6,0,14,0,11
209,random,33,3,0,34,17
210,random,9,5,11,3,9
211,random,7,4,14,0,8
212,random,10,3,10,0,11
213,random,0,0,21,2,8
214,random,24,11,2,0,25
215,random,9,2,9,0,13
216,random,14,5,8,11,8
217,random,7,1,9,0,17
218,random,33,2,1,27,24
219,random,13,4,4,6,21
220,random,8,2,7,0,14
221,random,5,0,14,3,8
222,random,32,2,3,31,14
223,random,7,4,16,0,6
224,random,12,0,9,0,25
225,random,12,4,9,4,10
226,random,6,3,17,1,7
227,random,1,0,19,2,9
228,random,4,0,18,7,4
229,random,7,5,13,3,7
230,random,0,0,28,0,4
231,random,7,1,13,3,9
232,random,31,4,0,4,33
233,random,14,5,7,8,12
234,random,18,4,4,9,12
235,random,14,3,3,0,18
236,random,32,6,3,46,8
237,random,35,2,1,24,27
238,random,3,1,17,3,8
239,random,13,3,4,3,27
240,random,33,3,6,35,10
241,random,6,1,11,8,10
242,random,7,1,10,0,16
243,random,24,2,3,27,15
244,random,28,2,4,36,13
245,random,29,2,7,30,11
246,random,19,8,2,5,18
247,random,38,5,3,30,14
248,random,7,2,15,0,8
249,random,3,1,19,6,5
250,random,13,5,5,0,17
251,random,1,0,26,0,3
252,random,6,2,21,4,3
253,random,29,5,2,35,13
254,random,6,3,19,4,4
255,random,26,4,3,33,12
256,random,5,3,20,0,5
257,random,37,3,1,38,16
258,random,8,1,9,4,11
259,random,25,2,5,33,12
260,random,1,0,21,0,8
261,random,31,2,5,31,11
262,random,12,2,6,3,13
263,random,3,0,19,8,3
264,random,11,4,13,5,7
265,random,10,3,15,4,6
266,random,5,3,22,4,3
267,random,29,2,6,30,12
268,random,23,11,1,0,27
269,random,8,5,12,0,10
270,random,7,3,18,3,4
271,random,5,1,17,8,5
272,random,12,4,11,8,7
273,random,6,1,14,0,10
274,random,4,0,17,1,8
275,random,36,6,0,53,7
276,random,7,2,14,0,9
277,random,2,1,28,0,2
278,random,0,0,24,0,6
279,random,9,5,13,2,7
280,random,44,4,0,38,10
281,random,28,1,5,30,13
282,random,2,0,24,0,4
283,random,36,15,0,0,46
284,random,6,5,16,3,6
285,random,8,1,8,3,13
286,random,5,0,13,3,10
287,random,6,2,9,0,18
288,random,10,1,8,0,17
289,random,13,3,11,5,9
290,random,24,3,4,31,13
291,random,5,0,15,0,9
292,random,5,2,10,0,18
293,random,25,6,1,8,25
294,random,14,7,8,6,9
295,random,12,6,9,7,7
296,random,3,0,18,0,8
297,random,27,13,0,4,29
298,random,23,5,1,11,24
299,random,1,0,20,4,6
300,random,11,7,12,5,7
301,random,7,1,14,2,9
302,random,18,4,6,7,12
303,random,33,4,0,6,32
304,random,13,2,5,0,20
305,random,19,1,5,16,21
306,random,7,5,14,0,7
307,random,0,0,23,0,7
308,random,11,5,11,7,7
309,random,28,5,4,35,11
310,random,4,1,16,5,8
311,random,3,0,19,1,6
312,random,12,3,5,0,27
313,random,16,6,2,0,26
314,random,15,7,10,4,8
315,random,28,6,0,11,26
316,random,11,4,14,5,6
317,random,7,1,10,1,12
318,random,29,7,0,15,24
319,random,9,3,16,6,5
320,random,45,4,0,34,16
321,random,77,5,0,64,8
322,random,34,2,1,26,24
323,random,7,1,12,0,11
324,random,8,0,11,4,13
325,random,10,1,9,2,11
326,random,17,2,5,0,19
327,random,10,2,6,3,14
328,random,12,4,9,8,8
329,random,0,0,22,0,8
330,random,26,12,0,5,26
331,random,36,4,0,33,20
332,random,3,1,20,5,5
333,random,9,6,11,1,10
334,random,26,12,1,5,25
335,random,1,0,23,0,6
336,random,8,2,18,6,3
337,random,13,1,5,7,25
338,random,8,1,11,3,10
339,random,23,12,2,0,24
340,random,11,0,8,4,17
341,random,11,6,12,7,6
342,random,12,1,7,0,19
343,random,22,7,0,3,33
344,random,16,2,4,0,21
345,random,1,0,25,1,4
346,random,9,2,8,2,12
347,random,12,4,12,7,7
348,random,8,4,13,2,8
349,random,10,3,9,1,11
350,random,27,2,8,29,11
351,random,11,4,12,9,6
352,random,33,2,1,25,25
353,random,5,3,16,0,8
354,random,14,2,4,2,20
355,random,33,6,2,47,8
